,activation,batch_size,cell_dim,dropout,epochs,gene_dim,hid1_dim,hid2_dim,lookahead,lr_max,score,time
67,elu,96.0,10.0,0.6500000000000001,20.0,30.0,830.0,1060.0,1.0,0.009262508952519939,0.015174769796431065,30.016791105270386
68,elu,96.0,10.0,0.6500000000000001,19.0,20.0,770.0,1030.0,1.0,0.00938585455842034,0.015214440412819386,28.0140540599823
69,elu,96.0,15.0,0.7,19.0,20.0,740.0,1130.0,1.0,0.00944461572983348,0.015288231894373894,29.567006587982178
70,elu,96.0,15.0,0.7,19.0,20.0,780.0,1250.0,1.0,0.009332726526816453,0.015234536491334438,29.28097701072693
71,elu,96.0,15.0,0.7,19.0,20.0,780.0,1220.0,1.0,0.009233684764002515,0.015274859964847565,28.72316575050354
72,elu,96.0,15.0,0.7,21.0,20.0,510.0,1260.0,1.0,0.007198828492779806,0.01530048344284296,31.522388458251953
73,elu,96.0,10.0,0.7,18.0,30.0,750.0,1200.0,1.0,0.00870498814557339,0.015318515710532665,27.614598274230957
74,elu,96.0,5.0,0.6500000000000001,20.0,10.0,950.0,1010.0,1.0,0.010686294796699988,0.01517332624644041,29.84486699104309
75,elu,96.0,5.0,0.6000000000000001,20.0,10.0,980.0,1010.0,1.0,0.010659369209426514,0.015197702683508396,31.669473886489868
76,elu,96.0,5.0,0.6000000000000001,17.0,40.0,950.0,1000.0,1.0,0.014874306099096447,0.01516619324684143,26.933281898498535
77,elu,96.0,5.0,0.55,15.0,40.0,940.0,960.0,1.0,0.016028989340049295,0.015171753242611885,23.93199610710144
78,elu,96.0,5.0,0.55,15.0,40.0,950.0,960.0,1.0,0.015864462470948082,0.015186091884970665,24.272873878479004
79,elu,96.0,5.0,0.5,16.0,40.0,1130.0,970.0,1.0,0.016471765472736644,0.015399389900267124,26.51997137069702
80,elu,96.0,5.0,0.55,14.0,40.0,600.0,800.0,1.0,0.013151559472476352,0.015164457261562347,22.47907066345215
81,elu,96.0,5.0,0.55,14.0,40.0,940.0,790.0,1.0,0.013639526230747588,0.015199929475784302,22.549692392349243
82,elu,96.0,5.0,0.55,14.0,30.0,600.0,1110.0,1.0,0.020014222879712162,0.015191922895610332,23.506973266601562
83,elu,96.0,5.0,0.45,12.0,60.0,550.0,1130.0,1.0,0.020354707657307812,0.015219829976558685,20.24119782447815
84,elu,96.0,5.0,0.5,14.0,40.0,610.0,880.0,1.0,0.01523288606870405,0.01518088299781084,22.177937984466553
85,elu,96.0,5.0,0.5,10.0,10.0,1110.0,880.0,1.0,0.015367464599746349,0.015302209183573723,17.996206045150757
86,elu,96.0,5.0,0.5,17.0,40.0,620.0,820.0,1.0,0.012666689279291534,0.015315606258809566,26.411370754241943
87,elu,96.0,5.0,0.45,15.0,60.0,970.0,950.0,1.0,0.017916704898443703,0.015396001748740673,24.378257989883423
88,elu,96.0,5.0,0.6000000000000001,17.0,30.0,660.0,980.0,1.0,0.023422052472067065,0.015170655213296413,25.807052612304688
89,elu,96.0,5.0,0.6000000000000001,11.0,10.0,640.0,770.0,1.0,0.024632188730987457,0.015296095050871372,19.98005962371826
90,elu,96.0,5.0,0.55,17.0,30.0,500.0,880.0,1.0,0.011561579629043065,0.015146682038903236,26.042345762252808
91,elu,96.0,5.0,0.55,17.0,30.0,500.0,840.0,1.0,0.010892791517507239,0.015201574191451073,25.761487245559692
92,elu,96.0,5.0,0.6000000000000001,13.0,40.0,700.0,890.0,1.0,0.01369209634881337,0.015323441475629807,21.146231412887573
93,elu,96.0,5.0,0.6000000000000001,17.0,50.0,860.0,640.0,1.0,0.012478932408978164,0.015237187035381794,27.24573302268982
94,elu,96.0,5.0,0.55,9.0,30.0,1040.0,1010.0,1.0,0.006547325869878354,0.015921227633953094,17.361056566238403
95,elu,96.0,5.0,0.6000000000000001,12.0,10.0,540.0,910.0,1.0,0.01506010631150119,0.01526743546128273,20.000311851501465
96,elu,96.0,10.0,0.5,21.0,20.0,670.0,970.0,1.0,0.021763439888186416,0.015938103199005127,30.47211527824402
97,elu,128.0,5.0,0.55,15.0,50.0,890.0,1170.0,1.0,0.010399264093010166,0.015836089849472046,21.87656593322754
98,elu,96.0,5.0,0.6000000000000001,18.0,60.0,1490.0,750.0,1.0,0.02695892122149785,0.015263051725924015,29.468950748443604
99,elu,96.0,10.0,0.6500000000000001,13.0,30.0,580.0,860.0,1.0,0.016877146076411303,0.015330418944358826,21.28267765045166
100,elu,96.0,10.0,0.6000000000000001,15.0,40.0,1110.0,990.0,1.0,0.01230667161359352,0.015200699679553509,24.522289514541626
101,elu,96.0,5.0,0.55,15.0,40.0,970.0,970.0,1.0,0.018330443663850747,0.015214779414236546,25.761268138885498
102,elu,96.0,5.0,0.5,17.0,50.0,1180.0,810.0,1.0,0.013838785716478804,0.015322876162827015,27.30761957168579
103,elu,96.0,5.0,0.6000000000000001,12.0,40.0,840.0,1040.0,1.0,0.008319686113601971,0.015547496266663074,20.52760601043701
104,elu,96.0,5.0,0.55,18.0,30.0,700.0,1100.0,1.0,0.015791268982938783,0.01528792642056942,26.898290157318115
105,elu,96.0,5.0,0.5,10.0,20.0,3030.0,880.0,1.0,0.0073134636999383955,0.015677714720368385,22.246211528778076
106,elu,96.0,5.0,0.55,16.0,60.0,820.0,940.0,1.0,0.011667172453747422,0.015147723257541656,26.143203020095825
107,elu,96.0,10.0,0.6500000000000001,22.0,70.0,2810.0,930.0,1.0,0.011274021596018891,0.015270914882421494,41.879961252212524
108,elu,200.0,5.0,0.6000000000000001,21.0,60.0,780.0,1040.0,1.0,0.012110955837228423,0.01534350123256445,19.895201206207275
109,elu,160.0,10.0,0.6500000000000001,18.0,80.0,1720.0,1100.0,1.0,0.01420204636289905,0.015328431501984596,22.646855115890503
110,elu,96.0,5.0,0.55,16.0,50.0,1910.0,720.0,1.0,0.009871596979080095,0.015257367864251137,29.40739870071411
111,elu,96.0,5.0,0.45,14.0,40.0,940.0,960.0,1.0,0.016947448598180388,0.015358826145529747,23.194613218307495
112,elu,96.0,5.0,0.55,14.0,30.0,810.0,900.0,1.0,0.022446125478960927,0.015149061568081379,22.42117714881897
113,elu,96.0,5.0,0.55,11.0,10.0,800.0,860.0,1.0,0.02168903092784142,0.015287807211279869,18.630160808563232
114,elu,96.0,10.0,0.5,13.0,30.0,680.0,910.0,1.0,0.03501179365480232,0.015222090296447277,20.84889841079712
115,elu,96.0,5.0,0.6000000000000001,16.0,20.0,1050.0,1170.0,1.0,0.027799943729657127,0.01526978611946106,26.80055069923401
116,elu,96.0,5.0,0.6500000000000001,23.0,50.0,590.0,800.0,1.0,0.02348363303225677,0.015148751437664032,33.17974543571472
117,elu,96.0,5.0,0.6500000000000001,23.0,50.0,500.0,790.0,1.0,0.02278394259708614,0.015132582746446133,32.78047847747803
118,elu,128.0,5.0,0.6500000000000001,20.0,50.0,530.0,780.0,1.0,0.022621194415532567,0.015281417407095432,23.858942985534668
119,elu,96.0,5.0,0.6500000000000001,23.0,20.0,730.0,800.0,1.0,0.08586190315282716,0.015384879894554615,34.88268685340881
120,elu,96.0,5.0,0.6500000000000001,23.0,30.0,500.0,750.0,1.0,0.019399973686534833,0.015152635984122753,33.39684271812439
121,elu,96.0,5.0,0.6500000000000001,21.0,30.0,500.0,630.0,1.0,0.018886869447787103,0.015155183151364326,30.641706228256226
122,elu,96.0,5.0,0.6500000000000001,24.0,30.0,580.0,680.0,1.0,0.0198808433628245,0.015142623335123062,33.846094846725464
123,elu,96.0,5.0,0.6000000000000001,24.0,50.0,500.0,630.0,1.0,0.020076808241713064,0.015258771367371082,33.96410036087036
124,elu,96.0,5.0,0.6500000000000001,27.0,30.0,660.0,560.0,1.0,0.025228707066831207,0.015232330188155174,39.13699245452881
125,elu,96.0,5.0,0.6000000000000001,26.0,30.0,580.0,610.0,1.0,0.030320243935541703,0.015478866174817085,36.741074085235596
126,elu,96.0,5.0,0.6500000000000001,23.0,20.0,510.0,670.0,1.0,0.019760920447509305,0.015134316869080067,32.71645474433899
127,elu,96.0,5.0,0.6500000000000001,23.0,20.0,550.0,510.0,1.0,0.018825104150686146,0.015181346796452999,32.57782244682312
128,elu,96.0,5.0,0.6500000000000001,22.0,60.0,500.0,680.0,1.0,0.02277148623957542,0.015141258016228676,31.58069944381714
129,elu,96.0,5.0,0.6500000000000001,24.0,60.0,520.0,680.0,1.0,0.03603663521497122,0.015205372124910355,35.857381105422974
130,elu,96.0,40.0,0.7,22.0,70.0,590.0,730.0,1.0,0.020079168746047274,0.01513533852994442,31.992257833480835
131,elu,96.0,40.0,0.7,22.0,70.0,610.0,680.0,1.0,0.01997207168884026,0.01516524888575077,31.777876615524292
132,elu,96.0,40.0,0.7,22.0,70.0,600.0,710.0,1.0,0.025297216112639288,0.01517529133707285,31.445268630981445
133,elu,96.0,40.0,0.7,23.0,70.0,500.0,680.0,1.0,0.019192690190303986,0.015185130760073662,32.461708784103394
134,elu,96.0,40.0,0.7,21.0,60.0,500.0,740.0,1.0,0.027973210105872684,0.015174394473433495,32.69852828979492
135,elu,96.0,45.0,0.6500000000000001,27.0,80.0,730.0,570.0,1.0,0.02249484955734189,0.015208450146019459,38.079317808151245
136,elu,96.0,5.0,0.7,24.0,50.0,610.0,650.0,1.0,0.020004372504498796,0.015129941515624523,33.97755551338196
137,elu,96.0,40.0,0.7,24.0,70.0,620.0,650.0,1.0,0.021186883046465536,0.0151359299197793,34.13807129859924
138,elu,96.0,45.0,0.7,26.0,50.0,500.0,650.0,1.0,0.023420320729225595,0.015123989433050156,36.168635845184326
139,elu,200.0,45.0,0.7,26.0,90.0,660.0,490.0,1.0,0.02910571808567098,0.015322333201766014,22.185392141342163
140,elu,96.0,45.0,0.7,24.0,50.0,500.0,600.0,1.0,0.024849351062509663,0.015131622552871704,35.220845222473145
141,elu,96.0,45.0,0.7,24.0,50.0,500.0,650.0,1.0,0.02529703591257359,0.015128178521990776,34.423959732055664
142,elu,96.0,45.0,0.7,29.0,60.0,570.0,650.0,1.0,0.02421191106526238,0.015177632682025433,40.04884052276611
143,elu,96.0,50.0,0.7,25.0,80.0,510.0,590.0,1.0,0.021595942983661347,0.015149016864597797,35.05281686782837
144,elu,96.0,50.0,0.7,25.0,80.0,720.0,430.0,1.0,0.026127535721232484,0.015179585665464401,34.97520184516907
145,elu,96.0,45.0,0.7,28.0,70.0,500.0,590.0,1.0,0.021350560059808302,0.015155702829360962,40.66898584365845
146,elu,96.0,50.0,0.7,24.0,50.0,630.0,550.0,1.0,0.03229793854676353,0.015145358629524708,34.71608877182007
147,elu,160.0,50.0,0.7,24.0,60.0,590.0,570.0,1.0,0.03122584193907419,0.015230651944875717,24.265525817871094
148,elu,96.0,50.0,0.7,25.0,50.0,640.0,600.0,1.0,0.03819853093866429,0.015141273848712444,35.119473457336426
149,elu,64.0,45.0,0.7,27.0,50.0,650.0,530.0,1.0,0.03718323812116881,0.015194477513432503,51.29372215270996
150,elu,96.0,45.0,0.7,26.0,50.0,750.0,660.0,1.0,0.04510062991447017,0.01518446858972311,36.31607961654663
151,elu,96.0,50.0,0.7,25.0,70.0,560.0,620.0,1.0,0.0333264753052347,0.015124313533306122,36.231510400772095
152,elu,96.0,50.0,0.7,25.0,70.0,570.0,610.0,1.0,0.050147938222431715,0.01513286866247654,35.85215377807617
153,elu,96.0,50.0,0.7,24.0,60.0,650.0,550.0,1.0,0.04912251577703026,0.015157020650804043,34.00731611251831
154,elu,96.0,50.0,0.7,25.0,70.0,570.0,610.0,1.0,0.05039121121505493,0.015144073404371738,35.12199139595032
155,elu,96.0,50.0,0.7,28.0,70.0,570.0,620.0,1.0,0.06295859077736715,0.0151724424213171,38.26361918449402
156,elu,96.0,50.0,0.7,25.0,80.0,500.0,700.0,1.0,0.03284203791526975,0.015141570940613747,37.8378119468689
157,elu,96.0,50.0,0.7,25.0,80.0,700.0,480.0,1.0,0.05162453063969779,0.01514377910643816,36.19502377510071
158,elu,96.0,50.0,0.7,26.0,100.0,700.0,450.0,1.0,0.04901245082651779,0.015162915922701359,36.85852599143982
159,elu,96.0,50.0,0.7,25.0,90.0,500.0,400.0,1.0,0.0682588462074473,0.01517580822110176,35.258830547332764
160,elu,96.0,50.0,0.7,22.0,80.0,570.0,700.0,1.0,0.040730441332465686,0.015169916674494743,31.534098625183105
161,elu,96.0,50.0,0.7,24.0,70.0,640.0,490.0,1.0,0.03278041288507308,0.015168697573244572,34.07785367965698
162,elu,96.0,50.0,0.7,26.0,90.0,710.0,600.0,1.0,0.04882919691130991,0.015150158666074276,38.26905393600464
163,elu,96.0,50.0,0.7,24.0,70.0,560.0,650.0,1.0,0.040442901247500024,0.015140567906200886,35.16951656341553
164,elu,96.0,45.0,0.7,25.0,80.0,550.0,650.0,1.0,0.039488499393346366,0.015159297734498978,35.7854106426239
165,elu,96.0,50.0,0.7,27.0,70.0,500.0,720.0,1.0,0.05572682632083009,0.015163619071245193,37.76231265068054
166,elu,96.0,45.0,0.6500000000000001,23.0,60.0,500.0,660.0,1.0,0.041675265059352824,0.015162988565862179,33.09295296669006
167,elu,96.0,35.0,0.7,29.0,80.0,620.0,680.0,1.0,0.051777834331394434,0.015212728641927242,39.47485589981079
168,elu,96.0,50.0,0.7,23.0,70.0,770.0,620.0,1.0,0.04537259935853581,0.015121175907552242,32.320791721343994
169,elu,128.0,50.0,0.6500000000000001,22.0,70.0,760.0,520.0,1.0,0.04419848203581763,0.015297118574380875,28.321654796600342
170,elu,96.0,45.0,0.7,23.0,90.0,700.0,740.0,1.0,0.03322019682550455,0.015116643160581589,33.68849492073059
171,elu,96.0,45.0,0.7,23.0,90.0,680.0,730.0,1.0,0.03605249919083744,0.015132453292608261,33.258293867111206
172,elu,96.0,45.0,0.7,23.0,90.0,650.0,720.0,1.0,0.03606243019213901,0.015138350427150726,32.850181341171265
173,elu,96.0,45.0,0.7,23.0,90.0,680.0,750.0,1.0,0.03701003326276404,0.015106787905097008,32.795464754104614
174,elu,96.0,45.0,0.7,23.0,110.0,870.0,760.0,1.0,0.0375442251253858,0.015173791907727718,33.10106110572815
175,elu,96.0,45.0,0.7,21.0,100.0,800.0,730.0,1.0,0.03571161995024674,0.015150553546845913,33.230332374572754
176,elu,96.0,45.0,0.7,22.0,100.0,680.0,650.0,1.0,0.028897070163316208,0.01513665821403265,32.6139178276062
177,elu,96.0,45.0,0.7,22.0,140.0,760.0,640.0,1.0,0.02810854534459661,0.015145543962717056,32.3741352558136
178,elu,96.0,45.0,0.7,23.0,90.0,690.0,730.0,1.0,0.029698424994173158,0.0151625731959939,33.03515410423279
179,elu,96.0,40.0,0.6500000000000001,21.0,100.0,690.0,760.0,1.0,0.02633957002784879,0.015131084248423576,30.712231636047363
180,elu,96.0,40.0,0.7,20.0,100.0,780.0,770.0,1.0,0.026366935464927063,0.015148262493312359,29.189167976379395
181,elu,96.0,40.0,0.6500000000000001,22.0,110.0,680.0,660.0,1.0,0.03388666198529849,0.015176125802099705,31.566286325454712
182,elu,96.0,45.0,0.6500000000000001,21.0,100.0,610.0,700.0,1.0,0.02469903760700099,0.015131760388612747,33.3544819355011
183,elu,96.0,45.0,0.6500000000000001,21.0,100.0,630.0,720.0,1.0,0.02526999952458305,0.01514207012951374,31.413450956344604
184,elu,96.0,45.0,0.7,23.0,110.0,880.0,630.0,1.0,0.027995855235005373,0.015152481384575367,33.45467519760132
185,elu,96.0,45.0,0.7,24.0,100.0,740.0,750.0,1.0,0.030397430060823086,0.015126047655940056,34.23216652870178
186,elu,96.0,45.0,0.6500000000000001,21.0,90.0,730.0,770.0,1.0,0.030076053788358995,0.015185353346168995,30.52420425415039
187,elu,96.0,40.0,0.7,23.0,120.0,820.0,710.0,1.0,0.025032044553501123,0.015137076377868652,32.7319655418396
188,elu,200.0,40.0,0.6500000000000001,19.0,100.0,830.0,700.0,1.0,0.02428533841963043,0.015360557474195957,18.198321104049683
189,elu,96.0,40.0,0.7,24.0,120.0,740.0,760.0,1.0,0.026098340723840544,0.015132531523704529,36.930126428604126
190,elu,160.0,40.0,0.7,24.0,110.0,740.0,830.0,1.0,0.030277548100093605,0.015120761469006538,24.86849045753479
191,elu,160.0,40.0,0.7,24.0,120.0,740.0,820.0,1.0,0.030992348957759815,0.015148617327213287,24.5652596950531
192,elu,160.0,35.0,0.7,22.0,110.0,700.0,750.0,1.0,0.0281654997380862,0.015225958079099655,22.659815788269043
193,elu,160.0,40.0,0.7,26.0,130.0,890.0,780.0,1.0,0.02651782321580986,0.015137038193643093,26.535789728164673
194,elu,160.0,45.0,0.7,24.0,100.0,610.0,610.0,1.0,0.032183319514332266,0.015202144160866737,23.892720937728882
195,elu,160.0,45.0,0.6500000000000001,21.0,100.0,790.0,750.0,1.0,0.023383501176425615,0.015166312456130981,22.01067090034485
196,elu,96.0,40.0,0.7,24.0,120.0,680.0,820.0,1.0,0.028691036763201155,0.015126812271773815,37.04338836669922
197,elu,96.0,40.0,0.6500000000000001,27.0,90.0,580.0,840.0,1.0,0.021360872594267968,0.015300912782549858,39.0008704662323
